name,party,district,onfb,onptt,total
王金平,國民黨,不分區,13997,10034,24031
郝龍斌,國民黨,基隆市選舉區,4604,4365,8969
黃國昌,時代力量,新北市第12選舉區,2673,3610,6283
柯建銘,民進黨,新竹市選舉區,2454,3183,5637
段宜康,民進黨,不分區,2196,1714,3910
邱毅,新黨,不分區,1531,2339,3870
邱顯智,時代力量,新竹市選舉區,825,2379,3204
劉文雄,親民黨,基隆市選舉區,1414,1588,3002
紀國棟,無黨籍,台中市第2選舉區,1106,1595,2701
吳育昇,國民黨,新北市第1選舉區,896,1478,2374
楊實秋,無黨籍,台北市第7選舉區,1008,1271,2279
曾銘宗,國民黨,不分區,1735,517,2252
洪慈庸,時代力量,台中市第3選舉區,760,1316,2076
賴士葆,國民黨,台北市第8選舉區,1059,852,1911
王炳忠,新黨,不分區,657,1022,1679
謝龍介,國民黨,台南市第3選舉區,779,893,1672
李慶元,無黨籍,台北市第8選舉區,694,912,1606
陳其邁,民進黨,不分區,786,677,1463
姚文智,民進黨,台北市第2選舉區,539,884,1423
蔣萬安,國民黨,台北市第3選舉區,581,807,1388
張碩文,親民黨,新北市第3選舉區,614,729,1343
陳亭妃,民進黨,台南市第3選舉區,785,523,1308
張慶忠,國民黨,新北市第8選舉區,535,755,1290
鄭運鵬,民進黨,桃園市第1選舉區,723,560,1283
黃昭順,國民黨,不分區,647,609,1256
潘建志,無黨籍,台北市第3選舉區,388,863,1251
苗博雅,綠黨社會民主黨聯盟,台北市第8選舉區,512,728,1240
林奕華,國民黨,不分區,520,683,1203
吳思瑤,民進黨,台北市第1選舉區,648,511,1159
黃珊珊,親民黨,台北市第4選舉區,456,645,1101
張顯耀,國民黨,高雄市第3選舉區,549,518,1067
顏寬恒,國民黨,台中市第2選舉區,480,566,1046
林昶佐,時代力量,台北市第5選舉區,513,527,1040
林郁方,國民黨,台北市第5選舉區,496,539,1035
蘇嘉全,民進黨,不分區,501,503,1004
范雲,綠黨社會民主黨聯盟,台北市第6選舉區,587,409,996
丁守中,國民黨,台北市第1選舉區,285,690,975
李慶華,國民黨,新北市第12選舉區,427,503,930
李鴻鈞,親民黨,不分區,410,519,929
林淑芬,民進黨,新北市第2選舉區,485,387,872
徐永明,時代力量,不分區,474,389,863
周倪安,台灣團結聯盟,不分區,467,376,843
呂欣潔,綠黨社會民主黨聯盟,台北市第7選舉區,572,228,800
賴振昌,台灣團結聯盟,不分區,406,387,793
王育敏,國民黨,不分區,318,460,778
林德福,國民黨,新北市第9選舉區,361,410,771
李彥秀,國民黨,台北市第4選舉區,423,346,769
陳明義,國民黨,新北市第2選舉區,443,294,737
黃偉哲,民進黨,台南市第2選舉區,296,437,733
徐巧芯,國民黨,不分區,248,481,729
吳志揚,國民黨,不分區,275,449,724
費鴻泰,國民黨,台北市第7選舉區,343,380,723
鄭麗君,民進黨,不分區,394,325,719
呂孫綾,民進黨,新北市第1選舉區,253,458,711
盧秀燕,國民黨,台中市第5選舉區,339,358,697
張安樂,中華統一促進黨,不分區,344,346,690
曾永權,國民黨,不分區,438,249,687
鄭永金,無黨籍,新竹縣選舉區,270,405,675
王定宇,民進黨,台南市第5選舉區,378,286,664
盧嘉辰,國民黨,新北市第10選舉區,366,263,629
蕭美琴,民進黨,花蓮縣選舉區,196,429,625
李俊俋,民進黨,嘉義市選舉區,272,351,623
楊瓊瓔,國民黨,台中市第3選舉區,219,393,612
許淑華,國民黨,南投縣第2選舉區,318,286,604
鄭汝芬,國民黨,彰化縣第3選舉區,324,270,594
管碧玲,民進黨,高雄市第5選舉區,300,291,591
陳學聖,國民黨,桃園市第3選舉區,239,350,589
蔡煌瑯,民進黨,南投縣第2選舉區,295,290,585
蔡其昌,民進黨,台中市第1選舉區,264,317,581
顧立雄,民進黨,不分區,302,278,580
廖國棟,國民黨,平地原住民選舉區,327,253,580
黃帝穎,民進黨,不分區,335,241,576
郭正亮,民進黨,不分區,188,368,556
吳宜臻,民進黨,苗栗縣第2選舉區,153,396,549
蘇巧慧,民進黨,新北市第5選舉區,384,158,542
蔡丁貴,自由台灣黨,不分區,232,290,522
李貴敏,國民黨,不分區,244,273,517
鄭正鈐,國民黨,新竹市選舉區,108,398,506
吳育仁,國民黨,嘉義市選舉區,191,315,506
莊瑞雄,民進黨,屏東縣第3選舉區,257,248,505
謝志忠,民進黨,台中市第8選舉區,223,263,486
李晏榕,綠黨社會民主黨聯盟,台北市第3選舉區,248,225,473
吳秉叡,民進黨,新北市第4選舉區,166,303,469
葉宜津,民進黨,台南市第1選舉區,240,221,461
劉建國,民進黨,雲林縣第2選舉區,225,235,460
陳明文,民進黨,嘉義縣第2選舉區,183,276,459
李應元,民進黨,不分區,239,208,447
蔡錦隆,國民黨,台中市第4選舉區,172,270,442
高志鵬,民進黨,新北市第3選舉區,161,280,441
陳超明,國民黨,苗栗縣第1選舉區,221,212,433
尤美女,民進黨,不分區,156,273,429
江啟臣,國民黨,台中市第8選舉區,159,268,427
劉國隆,台灣團結聯盟,台中市第5選舉區,112,296,408
趙天麟,民進黨,高雄市第7選舉區,229,179,408
廖正井,國民黨,桃園市第2選舉區,140,254,394
柯劭臻,時代力量,不分區,135,257,392
羅明才,國民黨,新北市第11選舉區,238,143,381
陳世凱,民進黨,台中市第2選舉區,144,234,378
魏揚,軍公教聯盟黨,新竹市選舉區,171,201,372
黃國書,民進黨,台中市第6選舉區,198,166,364
江惠貞,國民黨,新北市第7選舉區,154,203,357
蕭亞譚,台灣團結聯盟,台北市第4選舉區,212,143,355
柯一正,時代力量,不分區,259,78,337
葉毓蘭,新黨,不分區,150,185,335
詹順貴,綠黨社會民主黨聯盟,不分區,245,89,334
王進士,國民黨,屏東縣第2選舉區,120,210,330
王惠美,國民黨,彰化縣第1選舉區,126,203,329
劉櫂豪,民進黨,台東縣選舉區,122,206,328
徐志榮,國民黨,苗栗縣第2選舉區,144,181,325
陳根德,國民黨,桃園市第1選舉區,126,194,320
陳瑩,民進黨,平地原住民選舉區,208,103,311
李柏融,樹黨,高雄市第2選舉區,160,149,309
高金素梅,無黨籍黨團結聯盟,山地原住民選舉區,120,185,305
曾柏瑜,綠黨社會民主黨聯盟,新北市第11選舉區,272,27,299
蘇治芬,民進黨,雲林縣第1選舉區,108,188,296
許智傑,民進黨,高雄市第8選舉區,106,188,294
羅致政,民進黨,新北市第7選舉區,96,198,294
林滄敏,國民黨,彰化縣第2選舉區,91,200,291
邱議瑩,民進黨,高雄市第1選舉區,140,150,290
楊石城,民國黨,基隆市選舉區,140,148,288
潘懷宗,新黨,台北市第2選舉區,131,152,283
林國春,國民黨,新北市第6選舉區,129,148,277
陳淑慧,國民黨,台南市第4選舉區,145,129,274
蔡適應,民進黨,基隆市選舉區,103,166,269
黃志雄,國民黨,新北市第5選舉區,129,137,266
吾爾開希,大愛憲改聯盟,不分區,148,108,256
張廖萬堅,民進黨,台中市第4選舉區,104,145,249
林國正,國民黨,高雄市第9選舉區,97,151,248
陳尚志,綠黨社會民主黨聯盟,台北市第4選舉區,184,62,246
張鎔麒,國民黨,雲林縣第1選舉區,179,62,241
王廷升,國民黨,花蓮縣選舉區,64,170,234
孫大千,國民黨,桃園市第6選舉區,92,139,231
李根政,綠黨社會民主黨聯盟,不分區,127,104,231
陳文彬,民進黨,彰化縣第1選舉區,106,119,225
歐崇敬,親民黨,新竹市選舉區,42,182,224
何欣純,民進黨,台中市第7選舉區,89,131,220
李昆澤,民進黨,高雄市第6選舉區,116,102,218
唐慧琳,新黨,不分區,47,169,216
劉世芳,民進黨,高雄市第3選舉區,97,115,212
許秀雯,綠黨社會民主黨聯盟,不分區,116,89,205
江永昌,民進黨,新北市第8選舉區,66,137,203
孔文吉,國民黨,山地原住民選舉區,90,112,202
張宏陸,民進黨,新北市第6選舉區,77,123,200
許榮淑,健保免費連線,不分區,112,87,199
張麗善,國民黨,不分區,90,107,197
王寶萱,綠黨社會民主黨聯盟,桃園市第1選舉區,123,72,195
林江釧,國民黨,嘉義縣第1選舉區,59,129,188
陳怡潔,親民黨,不分區,66,121,187
沈智慧,國民黨,台中市第6選舉區,67,119,186
林為洲,國民黨,新竹縣選舉區,67,118,185
李婉鈺,無黨籍,新北市第7選舉區,116,68,184
呂玉玲,國民黨,桃園市第5選舉區,67,115,182
