name,page-name,page-id,likes,talking-about,party,dist,percent
丁守中,丁守中,tingshouchung,27611,4633,國民黨,台北市第1選舉區,16.779544384484442
吳思瑤,台北有需要‧請找吳思瑤,TaipeiNeedYou,20959,5967,民進黨,台北市第1選舉區,28.469869745693977
王靜亞,王靜亞,drwangyaya,14584,7342,民國黨,台北市第1選舉區,50.342841470104226
姚文智,姚文智翻台北,YaoTurningTaipei,30825,2274,民進黨,台北市第2選舉區,7.377128953771289
潘懷宗,潘懷宗,apan710,16706,5533,新黨,台北市第2選舉區,33.119837184245185
吳俊德,吳俊德,tmskex,4458,2571,信心希望聯盟,台北市第2選舉區,57.67160161507402
蔣萬安,蔣萬安,chiangwanan,28996,11086,國民黨,台北市第3選舉區,38.23285970478686
潘建志,BillyPan 潘建志醫師,billypan102,164806,17139,無黨籍,台北市第3選舉區,10.399500018203222
李晏榕,李晏榕 Yen-jong Lee,sdpyenjonglee,11107,3313,綠黨社會民主黨聯盟,台北市第3選舉區,29.82803637345818
林新凱,林新凱,akhai.tw,855,12,台灣獨立黨,台北市第3選舉區,1.4035087719298245
黃麗香,第九屆立法委員臺北市第三選區（中山、松山）候選人黃麗香,804942532948244,46,17,無黨籍,台北市第3選舉區,36.95652173913043
李彥秀,李彥秀,ashow.tpe,32763,10697,國民黨,台北市第4選舉區,32.64963525928639
黃珊珊,台北市議員黃珊珊,taipei33,81204,7566,親民黨,台北市第4選舉區,9.317275011083199
蕭亞譚,蕭亞譚網路總部,YatanOffice,11167,1515,台灣團結聯盟,台北市第4選舉區,13.566759201217874
陳尚志,陳尚志 社會民主黨,SCCSDP,5142,3422,綠黨社會民主黨聯盟,台北市第4選舉區,66.54998055231427
林少馳,林少馳 Terrence Lin,sclregeneration,2488,857,時代力量,台北市第4選舉區,34.44533762057878
何偉,何偉,SAVETAIWANECONOMICS,128,17,無黨籍,台北市第4選舉區,13.28125
林昶佐,林昶佐 中正萬華關鍵戰將,ivotefreddy,27923,12876,時代力量,台北市第5選舉區,46.11252372596068
李家幸,朝天椒（李家幸）,hotpepper.tw,451,835,台灣獨立黨,台北市第5選舉區,185.14412416851442
尤瑞敏,尤瑞敏 （蔡媽媽）,1448822928767933,2115,191,樹黨,台北市第5選舉區,9.030732860520095
蔣乃辛,蔣乃辛,Chiang.NaiShin,1029,167,國民黨,台北市第6選舉區,16.229348882410108
范雲,大安推范雲,daan4fanyun,14408,3431,綠黨社會民主黨聯盟,台北市第6選舉區,23.81315935591338
吳旭智,吳旭智,Morning.MKT,4124,2488,民國黨,台北市第6選舉區,60.32977691561591
龎維良,龎維良- 改變才有新力量,756275957803295,1490,303,無黨籍,台北市第6選舉區,20.335570469798657
周芳如,周芳如大安區立委參選人,choufj,2302,602,無黨籍,台北市第6選舉區,26.151172893136405
趙衍慶,趙衍慶,737238553021570,217,38,無黨籍,台北市第6選舉區,17.51152073732719
陳家宏,陳家宏,ChiaHungChen.tw,1115,112,樹黨,台北市第6選舉區,10.044843049327353
曾獻瑩,政治 從家開始-曾獻瑩,politicsfromfamily,1869,2001,信心希望聯盟,台北市第6選舉區,107.06260032102728
古文發,大愛憲改聯盟大安區立委參選人 古文發,441557072670526,259,12,大愛憲改聯盟,台北市第6選舉區,4.633204633204633
費鴻泰,費鴻泰（阿力克司）,893657620668012,33816,10562,國民黨,台北市第7選舉區,31.23373550981784
呂欣潔,呂欣潔 Jennifer Lu,JenniferLuTw,16400,6621,綠黨社會民主黨聯盟,台北市第7選舉區,40.3719512195122
楊實秋,楊實秋,PPMasterYang,69831,24332,無黨籍,台北市第7選舉區,34.8441236700033
林文傑,林文傑-信義.南松山,777290745726354,294,81,無黨籍,台北市第7選舉區,27.55102040816326
賴士葆,賴士葆,1573873889493647,22610,4123,國民黨,台北市第8選舉區,18.235294117647058
苗博雅,苗博雅 MiaoPoya,miaopoya.sdp,27050,9022,綠黨社會民主黨聯盟,台北市第8選舉區,33.35304990757856
李慶元,【國會新頭腦】李慶元,863388347084952,8120,2930,無黨籍,台北市第8選舉區,36.08374384236453
陳如聖,陳如聖,lucent.chen,131,37,台灣工黨,台北市第8選舉區,28.24427480916031
吳育昇,吳育昇,yeswuasheng,15976,2160,國民黨,新北市第1選舉區,13.520280420630945
