name,page-name,page-id,likes,talking-about,party,dist,percent
邱顯智,邱顯智 為人民辯護,LawyerHandyChiu,26849,38973,時代力量,新竹市選舉區,145.1562441804164
陳文彬,陳文彬,AkiraChenFans,19553,21386,民進黨,彰化縣第1選舉區,109.37452053393342
馬躍．比吼,馬躍．比吼 Mayaw Biho,2016mayawbiho,19457,20843,無黨籍,平地原住民選舉區,107.12340031865139
蔡煌瑯,蔡煌瑯,373362590787,27541,20706,民進黨,南投縣第2選舉區,75.18245524853853
許淑華,許淑華,130771133668155,13661,9583,國民黨,南投縣第2選舉區,70.14859819925336
吳秉叡,吳秉叡,Wubray,26705,17983,民進黨,新北市第4選舉區,67.3394495412844
蔡適應,基隆.蔡適應,114129008623973,17249,10380,民進黨,基隆市選舉區,60.17740158849788
黃柏霖,黃柏霖,polin66666,27560,16414,國民黨,高雄市第6選舉區,59.55732946298984
王定宇,王定宇,wdy19690305,137043,75819,民進黨,台南市第5選舉區,55.32497099450537
洪慈庸,洪慈庸,newpowerhung,102473,53134,時代力量,台中市第3選舉區,51.85170727899057
王靜亞,王靜亞,drwangyaya,14584,7342,民國黨,台北市第1選舉區,50.342841470104226
徐景文,徐景文,cwhsu2016,21945,10892,民進黨,桃園市第3選舉區,49.633173843700156
陳其邁,陳其邁 Chen Chi-Mai,122936517768637,30235,14209,民進黨,不分區,46.99520423350422
林昶佐,林昶佐 中正萬華關鍵戰將,ivotefreddy,27923,12876,時代力量,台北市第5選舉區,46.11252372596068
高金素梅,高金素梅(吉娃斯．阿麗),giwas888,12947,5890,無黨團結聯盟,山地原住民選舉區,45.49316443963853
賴瑞隆,賴瑞隆,774908905922784,20453,8880,民進黨,高雄市第9選舉區,43.416613699701756
徐巧芯,徐巧芯,HsuChiaoHsin,12341,5304,國民黨,不分區,42.978688923101856
邱議瑩,登真-邱議瑩,179828222070223,20779,8755,民進黨,高雄市第1選舉區,42.13388517252996
江惠貞,江惠貞,huizhen0128,16552,6910,國民黨,新北市第7選舉區,41.747220879652005
呂欣潔,呂欣潔 Jennifer Lu,JenniferLuTw,16400,6621,綠黨社會民主黨聯盟,台北市第7選舉區,40.3719512195122
